NumCode,CharCode,Nominal,Name,Value,ValuePerUnit,Date
036,AUD,1,Австралийский доллар,"55,4265",55.4265,2025-09-18
944,AZN,1,Азербайджанский манат,"48,8228",48.8228,2025-09-18
012,DZD,100,Алжирских динаров,"64,2852",0.642852,2025-09-18
051,AMD,100,Армянских драмов,"21,6741",0.216741,2025-09-18
764,THB,10,Батов,"26,1438",2.6143799999999997,2025-09-18
048,BHD,1,Бахрейнский динар,"220,6935",220.6935,2025-09-18
933,BYN,1,Белорусский рубль,"27,2852",27.2852,2025-09-18
975,BGN,1,Болгарский лев,"50,1049",50.1049,2025-09-18
068,BOB,1,Боливиано,"12,0114",12.0114,2025-09-18
986,BRL,1,Бразильский реал,"15,6327",15.6327,2025-09-18
410,KRW,1000,Вон,"60,0439",0.0600439,2025-09-18
344,HKD,1,Гонконгский доллар,"10,6930",10.693,2025-09-18
980,UAH,10,Гривен,"20,1482",2.01482,2025-09-18
208,DKK,1,Датская крона,"13,1275",13.1275,2025-09-18
784,AED,1,Дирхам ОАЭ,"22,6001",22.6001,2025-09-18
840,USD,1,Доллар США,"82,9987",82.9987,2025-09-18
704,VND,10000,Донгов,"32,9386",0.00329386,2025-09-18
978,EUR,1,Евро,"98,2994",98.2994,2025-09-18
818,EGP,10,Египетских фунтов,"17,2348",1.72348,2025-09-18
985,PLN,1,Злотый,"23,1072",23.1072,2025-09-18
392,JPY,100,Иен,"56,6544",0.566544,2025-09-18
356,INR,100,Индийских рупий,"94,5833",0.9458329999999999,2025-09-18
364,IRR,100000,Иранских риалов,"14,2831",0.000142831,2025-09-18
124,CAD,1,Канадский доллар,"60,3715",60.3715,2025-09-18
634,QAR,1,Катарский риал,"22,8018",22.8018,2025-09-18
192,CUP,10,Кубинских песо,"34,5828",3.45828,2025-09-18
104,MMK,1000,Кьятов,"39,5232",0.0395232,2025-09-18
981,GEL,1,Лари,"30,6494",30.6494,2025-09-18
498,MDL,10,Молдавских леев,"50,2824",5.02824,2025-09-18
566,NGN,1000,Найр,"55,9238",0.0559238,2025-09-18
554,NZD,1,Новозеландский доллар,"49,6291",49.6291,2025-09-18
934,TMT,1,Новый туркменский манат,"23,7139",23.7139,2025-09-18
578,NOK,10,Норвежских крон,"84,5528",8.45528,2025-09-18
512,OMR,1,Оманский риал,"215,8614",215.8614,2025-09-18
946,RON,1,Румынский лей,"19,4022",19.4022,2025-09-18
360,IDR,10000,Рупий,"50,6553",0.0050655299999999995,2025-09-18
710,ZAR,10,Рэндов,"47,7114",4.77114,2025-09-18
682,SAR,1,Саудовский риял,"22,1330",22.133,2025-09-18
960,XDR,1,СДР (специальные права заимствования),"114,1896",114.1896,2025-09-18
941,RSD,100,Сербских динаров,"83,9717",0.8397169999999999,2025-09-18
702,SGD,1,Сингапурский доллар,"65,0154",65.0154,2025-09-18
417,KGS,100,Сомов,"94,9099",0.9490989999999999,2025-09-18
972,TJS,10,Сомони,"87,6614",8.76614,2025-09-18
050,BDT,100,Так,"68,1331",0.681331,2025-09-18
398,KZT,100,Тенге,"15,3832",0.153832,2025-09-18
496,MNT,1000,Тугриков,"23,0928",0.0230928,2025-09-18
949,TRY,10,Турецких лир,"20,1128",2.01128,2025-09-18
860,UZS,10000,Узбекских сумов,"67,5601",0.006756010000000001,2025-09-18
348,HUF,100,Форинтов,"25,2276",0.252276,2025-09-18
826,GBP,1,Фунт стерлингов,"113,3513",113.3513,2025-09-18
203,CZK,10,Чешских крон,"40,3788",4.0378799999999995,2025-09-18
752,SEK,10,Шведских крон,"89,6543",8.965430000000001,2025-09-18
756,CHF,1,Швейцарский франк,"105,4889",105.4889,2025-09-18
230,ETB,100,Эфиопских быров,"57,9031",0.5790310000000001,2025-09-18
156,CNY,1,Юань,"11,6623",11.6623,2025-09-18
